Speaker,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,,,,,,,
0,14.20822024,-9.201505386,-13.50011013,-8.624215766,-19.78926396,-8.87649628,0.400815429,-2.66609482,-2.392955443,-8.402967897,1.269796353,-7.844932261,2.660491397,14.20822024,,0.991829864,-0.642327306,-0.942398989,-0.602028587,-1.381424461
11,13.66265093,-8.390865853,-10.50994188,-4.39894685,-19.69239239,-2.868418236,-7.461042879,-12.53627467,5.731985595,-13.89445993,8.6977077,-3.953734936,-4.795863314,13.66265093,,0.953745436,-0.585739185,-0.733665023,-0.307076241,-1.37466217
3,12.96585328,-11.02285284,-1.107394601,-3.052189368,-19.62691805,-13.05397068,-13.3253901,3.135660798,-14.58149263,-10.17757933,-3.218065494,-4.543655997,-2.107445621,12.96585328,,0.905104248,-0.769469677,-0.077303633,-0.21306346,-1.370091618
11,14.01116239,-11.37205566,-4.062455526,4.863195143,-19.41295986,-7.732798437,-10.15170883,-15.41460477,0.712627163,-15.68863829,3.381361852,-5.251824682,-3.291948736,14.01116239,,0.978073893,-0.793846395,-0.28358687,0.339483911,-1.355155889
12,13.88685861,-11.48884506,-12.77650994,-5.815241606,-19.40412174,-1.797547538,-17.44259185,-1.551619505,-5.479448416,-11.95235127,-0.159125119,-4.559356452,-2.852587961,13.88685861,,0.969396649,-0.801999085,-0.891886802,-0.405943193,-1.354538929
5,12.25928564,-12.66114908,-9.196476943,-2.638496697,-19.23687541,-11.82500052,-6.789917074,-7.251338686,-0.216969249,-0.704359853,2.666048465,-10.88613311,5.799796931,12.25928564,,0.855781048,-0.883833834,-0.641976287,-0.184184914,-1.342864004
1,13.26756864,-6.557259746,-12.86557025,-12.01457678,-19.17695631,-9.079261719,-6.356700918,-4.346988267,-7.614998003,2.830901813,1.854943364,-1.204692118,-6.30259435,13.26756864,,0.926166021,-0.457741077,-0.898103814,-0.838698715,-1.338681246
12,15.28464366,-3.412248798,-11.89228932,-16.4768723,-19.09470426,1.478996528,-12.4204606,-9.557508853,-1.597549049,-9.32478867,-3.922250142,3.979350486,-6.531990434,15.28464366,,1.066971499,-0.238198043,-0.830162223,-1.150197121,-1.332939496
11,14.64796573,-8.33489137,-12.29522471,2.225792896,-18.91432152,-7.698268205,-9.450148928,-14.87298,7.764430826,-13.26071294,0.750247452,-2.595532955,-2.544169608,14.64796573,,1.022527073,-0.581831787,-0.858289838,0.155375397,-1.320347561
0,13.77687252,-13.02118742,-10.18343781,-7.470398537,-18.40868164,-7.410521577,-5.750679561,-0.753359898,-2.427744914,-10.19366523,-3.328268419,-6.231161102,0.481420453,13.77687252,,0.961718876,-0.908966945,-0.71087283,-0.521484341,-1.285050478
12,14.44249505,-13.08138299,-11.29931692,-5.319184482,-17.99121748,-0.480240769,-14.48431104,-4.973693873,-0.777776463,-9.611023463,-3.900485359,-0.559895418,-3.064777691,14.44249505,,1.00818383,-0.913169003,-0.788768739,-0.371315051,-1.255908656
11,14.18254474,-12.99161899,-7.374264464,-8.717099797,-17.82346982,-0.88847871,-6.266355834,-13.90005902,4.010656805,-2.076533033,1.540072065,-4.007055418,-0.281442688,14.18254474,,0.99003754,-0.906902869,-0.514773532,-0.60851252,-1.244198735
5,13.4392926,-8.670065498,-14.78983182,-5.342799623,-17.79407507,-13.958123,-7.404649743,4.42674852,0.519962813,-5.950484415,4.551750972,-12.57385052,8.33028713,13.4392926,,0.938153514,-0.605229208,-1.032430286,-0.372963547,-1.242146782
